time_step,slot,phase,actions,placement
0,0,initial_before_any_decision,-,"server 0: 5,7,9 | server 1: 5 | server 2: - | server 3: 7,8 | server 4: 0,7,8 | server 5: 1,2,3,7,8 | server 6: 3,7 | server 7: 1,2,4,9 | server 8: 0,2,3,5,6,8,9 | server 9: 4,5"
1,1,after_slot_decision,"ADD:4,8;REMOVE:0,4;REMOVE:0,8;REMOVE:1,5;REMOVE:1,7","server 0: 5,7,9 | server 1: 5 | server 2: - | server 3: 7,8 | server 4: 7,8 | server 5: 2,3,7,8 | server 6: 3,7 | server 7: 2,4,9 | server 8: 2,3,4,5,6,8,9 | server 9: 4,5"
2,2,after_slot_decision,"ADD:2,3;REMOVE:2,5;REMOVE:2,7;REMOVE:2,8;REMOVE:3,5;REMOVE:3,6;REMOVE:3,8;REMOVE:4,7;REMOVE:4,8;REMOVE:4,9;REMOVE:5,0;REMOVE:5,1;REMOVE:5,8;REMOVE:6,8;REMOVE:7,0;REMOVE:7,3;REMOVE:7,4;REMOVE:7,5;REMOVE:7,6;REMOVE:8,3;REMOVE:8,4;REMOVE:8,5;REMOVE:8,8;REMOVE:9,0;REMOVE:9,7;REMOVE:9,8",server 0: - | server 1: - | server 2: - | server 3: 2 | server 4: - | server 5: - | server 6: - | server 7: - | server 8: - | server 9: 5
3,3,after_slot_decision,"ADD:2,1;ADD:4,3;REMOVE:2,3;REMOVE:5,9",server 0: - | server 1: 2 | server 2: - | server 3: 4 | server 4: - | server 5: - | server 6: - | server 7: - | server 8: - | server 9: -
4,4,after_slot_decision,"ADD:4,1;REMOVE:4,3","server 0: - | server 1: 2,4 | server 2: - | server 3: - | server 4: - | server 5: - | server 6: - | server 7: - | server 8: - | server 9: -"
5,5,after_slot_decision,"ADD:2,4;ADD:5,4;ADD:6,3;REMOVE:2,1;REMOVE:4,1","server 0: - | server 1: - | server 2: - | server 3: 6 | server 4: 2,5 | server 5: - | server 6: - | server 7: - | server 8: - | server 9: -"
6,6,after_slot_decision,"ADD:4,7;REMOVE:5,4;REMOVE:6,3",server 0: - | server 1: - | server 2: - | server 3: - | server 4: 2 | server 5: - | server 6: - | server 7: 4 | server 8: - | server 9: -
7,7,after_slot_decision,"ADD:4,4;REMOVE:2,4;REMOVE:4,7",server 0: - | server 1: - | server 2: - | server 3: - | server 4: 4 | server 5: - | server 6: - | server 7: - | server 8: - | server 9: -
8,8,after_slot_decision,"ADD:6,5;REMOVE:4,4",server 0: - | server 1: - | server 2: - | server 3: - | server 4: - | server 5: 6 | server 6: - | server 7: - | server 8: - | server 9: -
9,9,after_slot_decision,"ADD:4,8;REMOVE:6,5",server 0: - | server 1: - | server 2: - | server 3: - | server 4: - | server 5: - | server 6: - | server 7: - | server 8: 4 | server 9: -
10,10,after_slot_decision,"ADD:3,8;ADD:4,3;REMOVE:4,8",server 0: - | server 1: - | server 2: - | server 3: 4 | server 4: - | server 5: - | server 6: - | server 7: - | server 8: 3 | server 9: -
11,11,after_slot_decision,"ADD:4,1;ADD:4,2;ADD:5,6;REMOVE:3,8;REMOVE:4,3",server 0: - | server 1: 4 | server 2: 4 | server 3: - | server 4: - | server 5: - | server 6: 5 | server 7: - | server 8: - | server 9: -
12,12,after_slot_decision,"ADD:4,3;REMOVE:4,1;REMOVE:4,2;REMOVE:5,6",server 0: - | server 1: - | server 2: - | server 3: 4 | server 4: - | server 5: - | server 6: - | server 7: - | server 8: - | server 9: -
13,13,after_slot_decision,"ADD:3,8;ADD:4,0;ADD:5,8;REMOVE:4,3","server 0: 4 | server 1: - | server 2: - | server 3: - | server 4: - | server 5: - | server 6: - | server 7: - | server 8: 3,5 | server 9: -"
14,14,after_slot_decision,"ADD:2,4;ADD:2,9;ADD:4,5;REMOVE:3,8;REMOVE:4,0;REMOVE:5,8",server 0: - | server 1: - | server 2: - | server 3: - | server 4: 2 | server 5: 4 | server 6: - | server 7: - | server 8: - | server 9: 2
15,15,after_slot_decision,"ADD:2,6;ADD:4,9;ADD:5,1;REMOVE:2,4;REMOVE:2,9;REMOVE:4,5",server 0: - | server 1: 5 | server 2: - | server 3: - | server 4: - | server 5: - | server 6: 2 | server 7: - | server 8: - | server 9: 4
16,16,after_slot_decision,"ADD:2,0;ADD:4,5;REMOVE:2,6;REMOVE:4,9;REMOVE:5,1",server 0: 2 | server 1: - | server 2: - | server 3: - | server 4: - | server 5: 4 | server 6: - | server 7: - | server 8: - | server 9: -
17,17,after_slot_decision,"ADD:4,3;REMOVE:2,0;REMOVE:4,5",server 0: - | server 1: - | server 2: - | server 3: 4 | server 4: - | server 5: - | server 6: - | server 7: - | server 8: - | server 9: -
18,18,after_slot_decision,"ADD:4,4;REMOVE:4,3",server 0: - | server 1: - | server 2: - | server 3: - | server 4: 4 | server 5: - | server 6: - | server 7: - | server 8: - | server 9: -
19,19,after_slot_decision,"ADD:5,2;REMOVE:4,4",server 0: - | server 1: - | server 2: 5 | server 3: - | server 4: - | server 5: - | server 6: - | server 7: - | server 8: - | server 9: -
20,20,after_slot_decision,"ADD:4,0;ADD:6,7;REMOVE:5,2",server 0: 4 | server 1: - | server 2: - | server 3: - | server 4: - | server 5: - | server 6: - | server 7: 6 | server 8: - | server 9: -
21,21,after_slot_decision,"ADD:2,9;ADD:4,4;REMOVE:4,0;REMOVE:6,7",server 0: - | server 1: - | server 2: - | server 3: - | server 4: 4 | server 5: - | server 6: - | server 7: - | server 8: - | server 9: 2
22,22,after_slot_decision,"ADD:4,2;REMOVE:2,9;REMOVE:4,4",server 0: - | server 1: - | server 2: 4 | server 3: - | server 4: - | server 5: - | server 6: - | server 7: - | server 8: - | server 9: -
23,23,after_slot_decision,"ADD:4,7;REMOVE:4,2",server 0: - | server 1: - | server 2: - | server 3: - | server 4: - | server 5: - | server 6: - | server 7: 4 | server 8: - | server 9: -
24,24,after_slot_decision,"ADD:5,9;ADD:6,3;REMOVE:4,7",server 0: - | server 1: - | server 2: - | server 3: 6 | server 4: - | server 5: - | server 6: - | server 7: - | server 8: - | server 9: 5
25,25,after_slot_decision,"ADD:4,2;ADD:6,1;REMOVE:6,3",server 0: - | server 1: 6 | server 2: 4 | server 3: - | server 4: - | server 5: - | server 6: - | server 7: - | server 8: - | server 9: 5
26,26,after_slot_decision,"ADD:4,5;ADD:4,6;REMOVE:4,2;REMOVE:5,9;REMOVE:6,1",server 0: - | server 1: - | server 2: - | server 3: - | server 4: - | server 5: 4 | server 6: 4 | server 7: - | server 8: - | server 9: -
